4 restocking Boar by 5 more 
2022-12-11 10:31:42.201873 4 sold an item. 
2022-12-11 10:31:45.209199 4 sold an item. 
2022-12-11 10:31:48.230695 4 sold an item. 
4 restocking Salt by 5 more 
2022-12-11 10:31:51.238046 4 sold an item. 
2022-12-11 10:31:52.257538 4 sold an item. 
2022-12-11 10:31:57.264282 4 sold an item. 
2022-12-11 10:31:59.284950 4 sold an item. 
2022-12-11 10:32:03.284221 4 sold an item. 
4 restocking Boar by 5 more 
2022-12-11 10:32:06.309684 4 sold an item. 
